	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.850	0.739	0.791	23.000
root:Engineered:Bioremediation:Terephthalate:Wastewater	1.000	1.000	1.000	9.000
root:Engineered:Built environment	0.750	1.000	0.857	6.000
root:Engineered:Food production	0.500	1.000	0.667	2.000
root:Engineered:Food production:Fermented beverages	0.833	1.000	0.909	5.000
root:Engineered:Solid waste:Composting	0.750	1.000	0.857	3.000
root:Engineered:Wastewater	0.967	0.967	0.967	30.000
root:Engineered:Wastewater:Activated Sludge	0.600	1.000	0.750	6.000
root:Engineered:Wastewater:Water and sludge	0.875	0.778	0.824	9.000
root:Environmental:Aquatic:Estuary	1.000	0.750	0.857	4.000
root:Environmental:Aquatic:Estuary:Sediment	1.000	1.000	1.000	3.000
root:Environmental:Aquatic:Freshwater:Lake	1.000	1.000	1.000	5.000
root:Environmental:Aquatic:Freshwater:Sediment	1.000	1.000	1.000	4.000
root:Environmental:Aquatic:Lentic:Brackish	0.667	1.000	0.800	4.000
root:Environmental:Aquatic:Marine	0.984	0.932	0.957	132.000
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary	0.800	1.000	0.889	4.000
root:Environmental:Aquatic:Marine:Oceanic	0.824	0.903	0.862	31.000
root:Environmental:Aquatic:Marine:Sediment	0.400	1.000	0.571	2.000
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond	1.000	1.000	1.000	4.000
root:Environmental:Terrestrial:Soil	1.000	1.000	1.000	23.000
root:Host-associated:Animal:Digestive system:Fecal	0.977	0.977	0.977	43.000
root:Host-associated:Birds	1.000	1.000	1.000	4.000
root:Host-associated:Birds:Digestive system	0.800	1.000	0.889	4.000
root:Host-associated:Birds:Digestive system:Ceca	1.000	0.875	0.933	8.000
root:Host-associated:Human	0.464	0.765	0.578	17.000
root:Host-associated:Human:Digestive system	0.782	0.886	0.831	166.000
root:Host-associated:Human:Digestive system:Intestine	0.795	0.838	0.816	37.000
root:Host-associated:Human:Digestive system:Large intestine	0.328	0.651	0.436	63.000
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.970	0.886	0.926	1451.000
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.725	0.935	0.817	31.000
root:Host-associated:Human:Digestive system:Oral	0.700	1.000	0.824	7.000
root:Host-associated:Human:Digestive system:Oral:Saliva	0.667	1.000	0.800	2.000
root:Host-associated:Human:Skin	0.995	0.961	0.978	228.000
root:Host-associated:Human:Skin:Naris	1.000	1.000	1.000	12.000
root:Host-associated:Mammals:Digestive system	0.933	1.000	0.966	14.000
root:Host-associated:Mammals:Digestive system:Fecal	0.105	1.000	0.190	2.000
root:Host-associated:Mammals:Digestive system:Large intestine	1.000	1.000	1.000	17.000
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal	0.833	1.000	0.909	5.000
root:Host-associated:Mammals:Digestive system:Stomach:Rumen	1.000	1.000	1.000	4.000
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	1.000	1.000	1.000	22.000
root:Host-associated:Mammals:Respiratory system	1.000	1.000	1.000	6.000
root:Host-associated:Plants	1.000	0.667	0.800	6.000
root:Host-associated:Plants:Phylloplane	0.500	1.000	0.667	2.000
root:Host-associated:Plants:Rhizosphere	1.000	1.000	1.000	14.000
root:Mixed	1.000	0.990	0.995	201.000
accuracy	0.904	0.904	0.904	0.904
macro avg	0.831	0.944	0.864	2675.000
weighted avg	0.932	0.904	0.914	2675.000
