	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.88	1.0	0.936	22
root:Engineered:Wastewater	0.967	0.967	0.967	30
root:Engineered:Wastewater:Activated Sludge	1.0	0.9	0.947	10
root:Environmental:Aquatic:Marine	0.942	0.928	0.935	139
root:Environmental:Aquatic:Marine:Oceanic	0.829	0.829	0.829	35
root:Environmental:Terrestrial:Soil	0.844	0.931	0.885	29
root:Host-associated:Animal:Digestive system:Fecal	0.741	0.896	0.811	48
root:Host-associated:Human	0.463	0.833	0.595	30
root:Host-associated:Human:Digestive system	0.782	0.785	0.783	362
root:Host-associated:Human:Digestive system:Intestine	0.351	1.0	0.52	39
root:Host-associated:Human:Digestive system:Large intestine	0.299	0.835	0.44	127
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.967	0.654	0.78	1478
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.294	0.925	0.446	40
root:Host-associated:Human:Digestive system:Oral	0.458	0.786	0.579	14
root:Host-associated:Human:Skin	0.937	0.982	0.959	273
root:Host-associated:Human:Skin:Naris	1.0	1.0	1.0	12
root:Host-associated:Mammals:Digestive system	0.889	1.0	0.941	16
root:Host-associated:Mammals:Digestive system:Fecal	0.424	0.636	0.509	22
root:Host-associated:Mammals:Digestive system:Foregut:Rumen	0.5	1.0	0.667	18
root:Host-associated:Mammals:Digestive system:Large intestine	1.0	1.0	1.0	17
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	0.905	0.864	0.884	22
root:Host-associated:Plants:Rhizosphere	1.0	1.0	1.0	13
root:Mixed:Sediment:Sediment:Sediment	0.995	1.0	0.997	199
accuracy	0.779	0.779	0.779	0
macro avg	0.759	0.902	0.8	2995
weighted avg	0.876	0.779	0.801	2995
