	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.722	0.591	0.65	22
root:Engineered:Bioremediation:Terephthalate:Wastewater	1.0	1.0	1.0	9
root:Engineered:Built environment	1.0	0.889	0.941	9
root:Engineered:Food production	0.5	0.2	0.286	5
root:Engineered:Food production:Dairy products	1.0	1.0	1.0	4
root:Engineered:Food production:Fermented beverages	1.0	1.0	1.0	6
root:Engineered:Solid waste:Composting	1.0	0.5	0.667	4
root:Engineered:Wastewater	0.967	0.967	0.967	30
root:Engineered:Wastewater:Activated Sludge	0.75	0.9	0.818	10
root:Engineered:Wastewater:Water and sludge	0.889	0.889	0.889	9
root:Environmental:Aquatic:Estuary	0.5	0.333	0.4	3
root:Environmental:Aquatic:Estuary:Sediment	1.0	0.667	0.8	3
root:Environmental:Aquatic:Freshwater:Lake	1.0	0.8	0.889	5
root:Environmental:Aquatic:Freshwater:Sediment	1.0	1.0	1.0	4
root:Environmental:Aquatic:Lentic:Brackish	1.0	0.222	0.364	9
root:Environmental:Aquatic:Marine	0.905	0.957	0.93	139
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary	0.667	0.8	0.727	5
root:Environmental:Aquatic:Marine:Oceanic	0.886	0.886	0.886	35
root:Environmental:Aquatic:Marine:Sediment	1.0	0.857	0.923	7
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond	1.0	1.0	1.0	4
root:Environmental:Terrestrial:Soil	0.962	0.893	0.926	28
root:Host-associated:Animal:Digestive system:Fecal	0.915	0.896	0.905	48
root:Host-associated:Birds	1.0	0.75	0.857	4
root:Host-associated:Birds:Digestive system	1.0	1.0	1.0	5
root:Host-associated:Birds:Digestive system:Ceca	1.0	0.857	0.923	7
root:Host-associated:Human	0.893	0.833	0.862	30
root:Host-associated:Human:Digestive system	0.875	0.87	0.873	362
root:Host-associated:Human:Digestive system:Intestine	0.912	0.795	0.849	39
root:Host-associated:Human:Digestive system:Large intestine	0.566	0.339	0.424	127
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.889	0.957	0.922	1477
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.852	0.575	0.687	40
root:Host-associated:Human:Digestive system:Oral	1.0	0.571	0.727	14
root:Host-associated:Human:Digestive system:Oral:Saliva	1.0	0.625	0.769	8
root:Host-associated:Human:Skin	0.965	1.0	0.982	273
root:Host-associated:Human:Skin:Naris	1.0	0.833	0.909	12
root:Host-associated:Mammals	1.0	1.0	1.0	4
root:Host-associated:Mammals:Digestive system	1.0	0.824	0.903	17
root:Host-associated:Mammals:Digestive system:Fecal	0.857	0.273	0.414	22
root:Host-associated:Mammals:Digestive system:Foregut:Rumen	0.909	0.556	0.69	18
root:Host-associated:Mammals:Digestive system:Large intestine	1.0	0.941	0.97	17
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal	1.0	1.0	1.0	6
root:Host-associated:Mammals:Digestive system:Stomach:Rumen	1.0	1.0	1.0	4
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	0.917	1.0	0.957	22
root:Host-associated:Mammals:Respiratory system	1.0	1.0	1.0	6
root:Host-associated:Plants	1.0	0.667	0.8	6
root:Host-associated:Plants:Phylloplane	1.0	1.0	1.0	4
root:Host-associated:Plants:Rhizosphere	1.0	1.0	1.0	14
root:Mixed:Sediment:Sediment:Sediment	0.99	1.0	0.995	199
accuracy	0.899	0.899	0.899	0
macro avg	0.923	0.802	0.843	3135
weighted avg	0.894	0.899	0.891	3135
