	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.917	1.0	0.957	22
root:Engineered:Wastewater	0.967	0.967	0.967	30
root:Engineered:Wastewater:Activated Sludge	1.0	0.9	0.947	10
root:Environmental:Aquatic:Marine	0.928	0.928	0.928	139
root:Environmental:Aquatic:Marine:Oceanic	0.811	0.857	0.833	35
root:Environmental:Terrestrial:Soil	0.763	1.0	0.866	29
root:Host-associated:Animal:Digestive system:Fecal	0.808	0.875	0.84	48
root:Host-associated:Human	0.543	0.833	0.658	30
root:Host-associated:Human:Digestive system	0.803	0.768	0.785	362
root:Host-associated:Human:Digestive system:Intestine	0.384	0.974	0.551	39
root:Host-associated:Human:Digestive system:Large intestine	0.309	0.843	0.452	127
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.966	0.683	0.8	1478
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.27	0.85	0.41	40
root:Host-associated:Human:Digestive system:Oral	0.688	0.786	0.733	14
root:Host-associated:Human:Skin	0.944	0.989	0.966	273
root:Host-associated:Human:Skin:Naris	1.0	1.0	1.0	12
root:Host-associated:Mammals:Digestive system	0.941	1.0	0.97	16
root:Host-associated:Mammals:Digestive system:Fecal	0.353	0.545	0.429	22
root:Host-associated:Mammals:Digestive system:Foregut:Rumen	0.447	0.944	0.607	18
root:Host-associated:Mammals:Digestive system:Large intestine	0.944	1.0	0.971	17
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	0.87	0.909	0.889	22
root:Host-associated:Plants:Rhizosphere	1.0	1.0	1.0	13
root:Mixed:Sediment:Sediment:Sediment	0.995	1.0	0.997	199
accuracy	0.791	0.791	0.791	0
macro avg	0.767	0.898	0.807	2995
weighted avg	0.879	0.791	0.813	2995
