	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.75	0.545	0.632	22
root:Engineered:Bioremediation:Terephthalate:Wastewater	1.0	1.0	1.0	9
root:Engineered:Built environment	0.9	1.0	0.947	9
root:Engineered:Food production	0.444	0.8	0.571	5
root:Engineered:Food production:Dairy products	0.8	1.0	0.889	4
root:Engineered:Food production:Fermented beverages	1.0	1.0	1.0	6
root:Engineered:Solid waste:Composting	0.75	0.75	0.75	4
root:Engineered:Wastewater	0.906	0.967	0.935	30
root:Engineered:Wastewater:Activated Sludge	0.833	1.0	0.909	10
root:Engineered:Wastewater:Water and sludge	0.818	1.0	0.9	9
root:Environmental:Aquatic:Estuary	1.0	0.333	0.5	3
root:Environmental:Aquatic:Estuary:Sediment	1.0	0.667	0.8	3
root:Environmental:Aquatic:Freshwater:Lake	0.714	1.0	0.833	5
root:Environmental:Aquatic:Freshwater:Sediment	1.0	1.0	1.0	4
root:Environmental:Aquatic:Lentic:Brackish	0.462	0.667	0.545	9
root:Environmental:Aquatic:Marine	0.887	0.899	0.893	139
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary	0.714	1.0	0.833	5
root:Environmental:Aquatic:Marine:Oceanic	0.886	0.886	0.886	35
root:Environmental:Aquatic:Marine:Sediment	0.667	0.857	0.75	7
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond	1.0	1.0	1.0	4
root:Environmental:Terrestrial:Soil	0.812	0.929	0.867	28
root:Host-associated:Animal:Digestive system:Fecal	0.768	0.896	0.827	48
root:Host-associated:Birds	1.0	1.0	1.0	4
root:Host-associated:Birds:Digestive system	0.714	1.0	0.833	5
root:Host-associated:Birds:Digestive system:Ceca	1.0	1.0	1.0	7
root:Host-associated:Human	0.75	0.9	0.818	30
root:Host-associated:Human:Digestive system	0.817	0.804	0.811	362
root:Host-associated:Human:Digestive system:Intestine	0.433	1.0	0.605	39
root:Host-associated:Human:Digestive system:Large intestine	0.317	0.882	0.467	127
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.972	0.717	0.825	1477
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.391	0.85	0.535	40
root:Host-associated:Human:Digestive system:Oral	0.786	0.786	0.786	14
root:Host-associated:Human:Digestive system:Oral:Saliva	0.875	0.875	0.875	8
root:Host-associated:Human:Skin	0.938	0.996	0.966	273
root:Host-associated:Human:Skin:Naris	1.0	1.0	1.0	12
root:Host-associated:Mammals	1.0	1.0	1.0	4
root:Host-associated:Mammals:Digestive system	0.889	0.941	0.914	17
root:Host-associated:Mammals:Digestive system:Fecal	0.48	0.545	0.511	22
root:Host-associated:Mammals:Digestive system:Foregut:Rumen	0.567	0.944	0.708	18
root:Host-associated:Mammals:Digestive system:Large intestine	0.944	1.0	0.971	17
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal	1.0	1.0	1.0	6
root:Host-associated:Mammals:Digestive system:Stomach:Rumen	1.0	1.0	1.0	4
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	0.913	0.955	0.933	22
root:Host-associated:Mammals:Respiratory system	1.0	1.0	1.0	6
root:Host-associated:Plants	1.0	0.667	0.8	6
root:Host-associated:Plants:Phylloplane	1.0	1.0	1.0	4
root:Host-associated:Plants:Rhizosphere	1.0	1.0	1.0	14
root:Mixed:Sediment:Sediment:Sediment	0.995	1.0	0.997	199
accuracy	0.816	0.816	0.816	0
macro avg	0.831	0.897	0.846	3135
weighted avg	0.885	0.816	0.832	3135
